Ingresos
Item,Transacción,Referencia,Fecha,Producto,Almacén,Ubicación,Cantidad,Valor Unitario,Total
1,OR18B20L4246,OC18B19R5100,2018-02-20,O/S COLOR EFFECT GLAM FEM Negro,Almacén Principal,F-4-1,1,40.24,40.24
2,OR18B20L4246,OC18B19R5100,2018-02-20,PULSERA DEZZEO MAGIC PULSERA DORADA,Almacén Principal,I-6-1,1,94.25,94.25
3,OR18B20L4246,OC18B19R5100,2018-02-20,ARETES ROSATTI PETAL ARETES,Mostrador,A-6-1,1,52,52
4,OR18B20L4246,OC18B19R5100,2018-02-20,COLLAR ROSATTI PETAL COLLAR,Mostrador,A-8-2,2,162.5,325
5,OR18B20L4246,OC18B19R5100,2018-02-20,ARETES ROSATTI ARETES,Mostrador,A-6-1,1,61.75,61.75
6,OR18B20L4246,OC18B19R5100,2018-02-20,SORTIJA ROSATTI PETAL T9 SORTIJA,Almacén Principal,I-8-1,1,97.5,97.5
7,OR18B20L4246,OC18B19R5100,2018-02-20,CADENA CESARI COLLAR,Almacén Principal,I-3-1,1,113.75,113.75
8,OR18B20L4246,OC18B19R5100,2018-02-20,SET ARETES DESIREE SET ARETES,Mostrador,A-8-1,1,45.5,45.5
9,OR18B20L4246,OC18B19R5100,2018-02-20,ARETES COLOR POP ARETES,Mostrador,A-3-1,1,29.25,29.25
10,OR18B20L3558,OC18B19P5650,2018-02-20,HYDRA-LIP LABIAL CRAYÓN SEMI-MATE FUCSIA GLAMOUR  No necesita tajarse.,Almacén Principal,G-6-3,2,20.15,40.3
11,OR18B20L2038,OC18B19P5650,2018-02-20,TOTAL BLOCK SPF 100 Negro,Almacén Principal,E-4-2,6,38.35,230.1
12,OR18B20L2038,OC18B19P5650,2018-02-20,EAU VITALE LAVANDA COLONIA Negro,Almacén Principal,E-1-1,5,22.1,110.5
13,OR18B20L2038,OC18B19P5650,2018-02-20,L/L HYDRA-LIP CRAY RED ELEGANC MY Negro,Almacén Principal,G-6-3,3,20.15,60.45
14,OR18B20L2038,OC18B19P5650,2018-02-20,L/L HYDRA-LIP CRAY LIL ASIATIC MY Negro,Almacén Principal,G-6-3,2,20.15,40.3
15,OR18B20L2038,OC18B19P5650,2018-02-20,Exfoliante Gommage en Crema Quinua Negro,Almacén Principal,D-5-2,25,19.5,487.5
16,OR18B20L2038,OC18B19P5650,2018-02-20,Lesence Orquídeas Exóticas Cologne Negro,Almacén Principal,E-2-2,12,18.85,226.2
17,OR18B20L2038,OC18B19P5650,2018-02-20,Hydra-Lip Color Intenso Vivid Fucsia Negro,Almacén Principal,G-5-3,2,18.2,36.4
18,OR18B20L2038,OC18B19P5650,2018-02-20,Hydra-Lip Color Intenso Aquarela Rose Negro,Almacén Principal,G-5-3,2,18.2,36.4
19,OR18B20L2038,OC18B19P5650,2018-02-20,Hydra Lip Arty Pink Negro,Almacén Principal,G-3-2,2,18.2,36.4
20,OR18B20L2038,OC18B19P5650,2018-02-20,Hydra-Lip Color Intenso CoRAL Art Negro,Almacén Principal,G-5-3,2,18.2,36.4
21,OR18B20L2038,OC18B19P5650,2018-02-20,Hydra-Lip Color Intenso Rojo Palette Negro,Almacén Principal,G-5-3,2,18.2,36.4
22,OR18B20L1928,OCP18B20L1600,2018-02-20,ELIXIR DE VIDA ROSTRO Negro,Almacén Principal,H-3-2,1,0,0
23,OR18B20L1928,OCP18B20L1600,2018-02-20,TOTAL BLOCK SPF 100 Negro,Almacén Principal,E-4-2,2,0,0
24,OR18B20L0820,OC18B19R1631,2018-02-20,L/L HYDRA-LIP CRAYON SEXY RED Negro,Almacén Principal,G-6-3,2,20.15,40.3
25,OR18B20L0820,OC18B19R1631,2018-02-20,B/L ELIXIR DE VIDA ANTIEDAD T1 Negro,Almacén Principal,H-6-1,2,35.1,70.2
26,OR18B20L0820,OC18B19R1631,2018-02-20,B/L ELIXIR DE VIDA ANTIEDAD T2 Negro,Almacén Principal,H-6-1,2,35.1,70.2
27,OR18B20L0820,OC18B19R1631,2018-02-20,B/L ELIXIR DE VIDA ANTIEDAD T3 Negro,Almacén Principal,H-6-1,1,35.1,35.1
28,OR18B20L0820,OC18B19R1631,2018-02-20,EAU VITALE LAVANDA COLONIA Negro,Almacén Principal,E-1-1,2,22.1,44.2
29,OR18B20L0820,OC18B19R1631,2018-02-20,EAU VITALE TE VERDE COLONIA Negro,Almacén Principal,E-1-2,3,22.1,66.3
30,OR18B20L0820,OC18B19R1631,2018-02-20,ESM PERFECT TEN AMANTES Y ENEM Negro,Almacén Principal,G-6-4,3,12.29,36.87
31,OR18B20L0820,OC18B19R1631,2018-02-20,Y. LABIAL FUCSIA POP Negro,Almacén Principal,G-5-2,3,12.94,38.82
32,OR18B20L0820,OC18B19R1631,2018-02-20,Exfoliante Gommage en Crema Quinua Negro,Almacén Principal,D-5-2,2,19.5,39
33,OR18B20L0820,OC18B19R1631,2018-02-20,Lesence Orquídeas Exóticas Cologne Negro,Almacén Principal,E-2-2,3,18.85,56.55
34,OR18B20L0820,OC18B19R1631,2018-02-20,Total Block Kids Spf 70 Negro,Almacén Principal,E-4-1,2,32.5,65
35,OR18B20L0820,OC18B19R1631,2018-02-20,Total Block Anti-edad spf 50+ Negro,Almacén Principal,E-4-1,2,31.85,63.7
36,OR18B20L0820,OC18B19R1631,2018-02-20,Perfect Ten Blanc Harmony Negro,Almacén Principal,G-5-4,1,11.05,11.05
37,OR18B20L0820,OC18B19R1631,2018-02-20,Total Block spf 50 Rostro y Cuerpo Negro,Almacén Principal,E-4-2,2,28.6,57.2
38,OR18B20L0820,OC18B19R1631,2018-02-20,Perfect Ten Esmalte Amantes de Medianoche Negro,Almacén Principal,G-6-4,3,12.29,36.87
39,OR18B20L0820,OC18B19R1631,2018-02-20,ARETES HELENA GLAM J15388 Negro,Mostrador,A-4-1,1,22.75,22.75
40,OR18B20L0820,OC18B19R1631,2018-02-20,COLECCIÓN LOVE ROMANCE Negro,Mostrador,A-5-2,1,45.5,45.5
41,OR18B20L0712,OCP18B20L0244,2018-02-20,ELIXIR DE VIDA ROSTRO ANV Negro,Almacén Principal,H-3-2,1,0,0
42,OR18B20L0712,OCP18B20L0244,2018-02-20,COLECCIÓN AMATISTA DELUXE Negro,Mostrador,A-4-2,1,0,0
43,OR18B20L0712,OCP18B20L0244,2018-02-20,COLECCION GRIS URBANO (MOCHILA) PLOMO Y NARANJA,Almacén de Premios,General,1,0,0
44,OR18B20L0712,OCP18B20L0244,2018-02-20,COLECCION PERLA BELLE COLECCION,Mostrador,A-1-1,1,0,0
45,OR18B20K4947,OC18B19R5100,2018-02-20,AROM ABSOLUT COLOGNE FOR MEN Negro,Almacén Principal,C-1-1,1,55.25,55.25
46,OR18B20K4947,OC18B19R5100,2018-02-20,PD TE ESPERO EN ESTAMBUL COLOG Negro,Almacén Principal,E-3-2,1,21.13,21.13
47,OR18B20K4947,OC18B19R5100,2018-02-20,EAU VITALE LAVANDA COLONIA Negro,Almacén Principal,E-1-1,2,22.1,44.2
48,OR18B20K4947,OC18B19R5100,2018-02-20,PD I LOVE NEW YORK COLOGNE Negro,Almacén Principal,E-3-1,1,21.13,21.13
49,OR18B20K4947,OC18B19R5100,2018-02-20,Lesence Orquídeas Exóticas Cologne Negro,Almacén Principal,E-2-2,4,18.85,75.4
50,OR18B20K4947,OC18B19R5100,2018-02-20,Total Block Kids Spf 70 Negro,Almacén Principal,E-4-1,2,32.5,65
51,OR18B20K4947,OC18B19R5100,2018-02-20,Total Block Anti-edad spf 50+ Negro,Almacén Principal,E-4-1,2,31.85,63.7
52,OR18B20K4947,OC18B19R5100,2018-02-20,Total Block spf 50 Rostro y Cuerpo Negro,Almacén Principal,E-4-2,1,28.6,28.6
53,OR18B20K4255,OCP18B20K3805,2018-02-20,ELIXIR DE VIDA ROSTRO ANV Negro,Almacén Principal,H-3-2,1,0,0
54,OR18B20K4255,OCP18B20K3805,2018-02-20,COLECCIÓN AMATISTA DELUXE Negro,Mostrador,A-4-2,1,0,0
55,OR18B20K4255,OCP18B20K3805,2018-02-20,BOLSO VERSATIL UNIQUE MORRAL NARANJA,Almacén de Premios,General,0,0,0
56,OR18B20K4255,OCP18B20K3805,2018-02-20,COLECCION GRIS URBANO (MOCHILA) PLOMO Y NARANJA,Almacén de Premios,General,1,0,0
57,OR18B20K4255,OCP18B20K3805,2018-02-20,COLECCION VIRGEN DEVINE COLECCION,Almacén Principal,B-1-1,1,0,0
58,OR18B19K1535,OC18B14N0825,2018-02-19,SPRIO BLUE SPRAY COLOGNE Negro,Almacén Principal,C-6-2,1,41.25,41.25
59,OR18B19K1535,OC18B14N0825,2018-02-19,ELIXIR DE VIDA LIMPIADOR Negro,Almacén Principal,H-3-1,2,21.38,42.76
60,OR18B19K1535,OC18B14N0825,2018-02-19,ELIXIR DE VIDA GEL TONICO Negro,Almacén Principal,H-3-1,2,21.38,42.76
61,OR18B19K1535,OC18B14N0825,2018-02-19,TOTAL BLOCK SPF 100 Negro,Almacén Principal,E-4-2,6,37,222
62,OR18B19K1535,OC18B14N0825,2018-02-19,AROM POUR HOMME DESODORANTE Negro,Almacén Principal,C-2-1,1,9.68,9.68
63,OR18B19K1535,OC18B14N0825,2018-02-19,Lesence Orquídeas Exóticas Cologne Negro,Almacén Principal,E-2-2,2,21.75,43.5
64,OR18B19K1453,OCP18B19K1323,2018-02-19,TOTAL BLOCK SPF 100 Negro,Almacén Principal,E-4-2,2,0,0
65,OR18B19K1453,OCP18B19K1323,2018-02-19,COLECCIÓN CORAZON DICRISTAL Negro,Mostrador,A-4-2,1,0,0
66,OR18B19K1453,OCP18B19K1323,2018-02-19,MALETIN MULTIUSOS (CAFE) MALETIN CAFE CON LOGO UNIQUE,Almacén Secundario,U-General,1,0,0
67,OR18B19K1453,OCP18B19K1323,2018-02-19,COLECCION GRIS URBANO (MOCHILA) PLOMO Y NARANJA,Almacén Secundario,U-General,1,0,0
68,OR18B19K1116,OC18B14N0425,2018-02-19,SPRIO BLUE SPRAY COLOGNE Negro,Almacén Principal,C-6-2,1,41.25,41.25
69,OR18B19K1116,OC18B14N0425,2018-02-19,ELIXIR DE VIDA LIMPIADOR Negro,Almacén Principal,H-3-1,2,21.38,42.76
70,OR18B19K1116,OC18B14N0425,2018-02-19,ELIXIR DE VIDA GEL TONICO Negro,Almacén Principal,H-3-1,2,21.38,42.76
71,OR18B19K1116,OC18B14N0425,2018-02-19,TOTAL BLOCK SPF 100 Negro,Almacén Principal,E-4-2,6,37,222
72,OR18B19K1116,OC18B14N0425,2018-02-19,AROM POUR HOMME DESODORANTE Negro,Almacén Principal,C-2-1,1,9.68,9.68
73,OR18B19K1116,OC18B14N0425,2018-02-19,Lesence Orquídeas Exóticas Cologne Negro,Almacén Principal,E-2-2,2,21.75,43.5
74,OR18B19K1041,OCP18B19K0907,2018-02-19,TOTAL BLOCK SPF 100 Negro,Almacén Principal,E-4-2,2,0,0
75,OR18B19K1041,OCP18B19K0907,2018-02-19,COLECCIÓN CORAZON DICRISTAL Negro,Mostrador,A-4-2,1,0,0
